,joined,kind,link,location,market,name,pitch,raised,size,stage,website,query,type_,tech,min_size,lifetime,raised_month,k_raised,m_raised,b_raised,latitude,longitude,address
2011,2013-11-01,startup,https://angel.co/genialis,houston,pharmaceuticals,genialis,data fusion for precision medicine,,11-50,,genialis.com,machine learning,startup,python,11,64,,,,,29.7589382,-95.3676974,
2012,2014-04-01,startup,https://angel.co/nubix,san francisco,internet of things,nubix,accelerating the intelligent edge for enterprise infrastructure,,1-10,,nubix.io,machine learning,startup,python,1,59,,,,,37.7792808,-122.4192363,
2013,2015-12-01,startup,https://angel.co/skycision,pittsburgh,saas,skycision,disrupting traditional crop management,,1-10,,skycision.com,machine learning,startup,python,1,39,,,,,40.4416941,-79.9900861,
2014,2016-02-01,startup,https://angel.co/featurex,cambridge,computer vision,featurex,using machine learning to discover meaningful patterns in the worlds data,,1-10,,featurex.ai,machine learning,startup,python,1,37,,,,,52.2034823,0.1235817,
2015,2016-03-01,startup,https://angel.co/mintrics,egypt,big data,mintrics,"social video analytics dashboard, with benchmarks",,1-10,,mintrics.com,machine learning,startup,python,1,36,,,,,26.2540493,29.2675469,
2016,2017-06-01,startup,https://angel.co/xoomdat,los angeles,real time,xoomdat,xoomdat: real time search & analytics technology,,1-10,,xoomdat.com,machine learning,startup,python,1,21,,,,,34.0536834,-118.2427669,
2017,2017-04-01,startup,https://angel.co/drive-ads,new york city,native advertising,drive,automate advertising,,1-10,,driveads.co,machine learning,startup,python,1,23,,,,,40.7308619,-73.9871558,
2018,2013-04-01,startup,https://angel.co/iconicloud,washington dc,knowledge management,iconicloud,intelligent content for the semantic web,,1-10,,iconicloud.com,machine learning,startup,python,1,71,,,,,38.8950092,-77.0365625,
2019,2013-05-01,startup,https://angel.co/bright-bot,,application platforms,bright bot,apps for creative expression for kids,,1-10,,brightbot.com,machine learning,startup,python,1,70,,,,,,,
2020,2013-05-01,startup,https://angel.co/adverteyes,,advertising platforms,adverteyes,targeted and measured digital out of home advertising,,1-10,,adverteyes.me,machine learning,startup,python,1,70,,,,,,,
2021,2013-06-01,startup,https://angel.co/cupenya,amsterdam,customer service,cupenya,taking self service to the next level.,,11-50,,cupenya.com,machine learning,startup,python,11,69,,,,,52.3745403,4.89797550561798,
2022,2013-06-01,startup,https://angel.co/quiverity,san francisco,finance technology,quiverity,curated insight for finance professionals,,1-10,,quiverity.com,machine learning,startup,python,1,69,,,,,37.7792808,-122.4192363,
2023,2014-04-01,startup,https://angel.co/ibinom-1,santa monica,diagnostics,ibinom,cloud based genome analyzer for clinical next generation sequencing data interpretation,,1-10,,ibinom.com,machine learning,startup,python,1,59,,,,,34.0250724,-118.4965129,
2024,2014-09-01,startup,https://angel.co/grooviotalent,fremont,semantic search,grooviotalent,the recruiting graph company,,1-10,,grooviotalent.com,machine learning,startup,python,1,54,,,,,37.5482697,-121.9885719,
2025,2013-10-01,startup,https://angel.co/contextuall-1,new york city,investment management,contextuall,a crowdsourced portfolio risk management system for investors,,1-10,,contextuall.com,machine learning,startup,python,1,65,,,,,40.7308619,-73.9871558,
2026,2016-12-01,startup,https://angel.co/mytrendi,los angeles,entertainment industry,trendi,we help brands hire talented entertainment and fashion freelancers,,1-10,,mytrendi.com,machine learning,startup,python,1,27,,,,,34.0536834,-118.2427669,
2027,2016-06-01,startup,https://angel.co/vonly,sunnyvale,big data analytics,vonly,internet intelligence solutions,,11-50,,vonly.com,machine learning,startup,python,11,33,,,,,37.3688301,-122.0363496,
2028,2016-07-01,startup,https://angel.co/get-conductor,new york city,crowdsourcing,conductor (techstars nyc 17),smart navigation for urban transit,,1-10,,getconductor.com,machine learning,startup,python,1,32,,,,,40.7308619,-73.9871558,
2029,2013-08-01,startup,https://angel.co/litmus-automation,palo alto,internet of things,litmus automation,end to end internet of things middleware cloud platform.,,11-50,,litmusautomation.com,machine learning,startup,python,11,67,,,,,37.4455862,-122.1619289,
2030,2013-08-01,startup,https://angel.co/twing-1,san francisco,semantic search,twing,peer to peer actionable insights sharing for knowledge workers,,11-50,,twing.co,machine learning,startup,python,11,67,,,,,37.7792808,-122.4192363,
2031,2014-07-01,startup,https://angel.co/beyond-4,san francisco,big data,androgeniq,machine learning innovations for supplement and beverage industry,,1-10,,androgeniq.com,machine learning,startup,python,1,56,,,,,37.7792808,-122.4192363,
2032,2014-09-01,startup,https://angel.co/wolfe-career,silicon valley,data mining,wolfe career,make informed career decisions.,,1-10,,wolfecareer.com,machine learning,startup,python,1,54,,,,,37.4429964,-122.1545229,
2033,2014-09-01,startup,https://angel.co/rating-vc,,predictive analytics,rating vc,venture intelligence powerful startup team scoring,,1-10,,rating.vc,machine learning,startup,python,1,54,,,,,,,
2034,2015-08-01,startup,https://angel.co/magic-in-bits,san mateo,fraud detection,magic. in bits,intelligent security for the blockchain,,1-10,,magicinbits.com,machine learning,startup,python,1,43,,,,,37.496904,-122.3330573,
2035,2015-10-01,startup,https://angel.co/credible-2,tel aviv yafo,consumer lending,credible,increase financial inclusion through alternative credit scoring,,1-10,,credible.eu.com,machine learning,startup,python,1,41,,,,,32.0804808,34.7805274,
2036,2016-03-01,startup,https://angel.co/nightly-5,santa monica,k 12 education,nightly,the a.i. teaching assistant,,1-10,,nightlyhomework.com,machine learning,startup,python,1,36,,,,,34.0250724,-118.4965129,
